n:1 mse_avg:10.48 mse_y:12.63 mse_u:5.40 mse_v:6.94 psnr_avg:37.93 psnr_y:37.12 psnr_u:40.81 psnr_v:39.72 
n:2 mse_avg:250.82 mse_y:367.71 mse_u:8.00 mse_v:26.09 psnr_avg:24.14 psnr_y:22.48 psnr_u:39.10 psnr_v:33.97 
n:3 mse_avg:29.88 mse_y:41.62 mse_u:5.28 mse_v:7.48 psnr_avg:33.38 psnr_y:31.94 psnr_u:40.91 psnr_v:39.39 
n:4 mse_avg:197.88 mse_y:290.19 mse_u:7.05 mse_v:19.44 psnr_avg:25.17 psnr_y:23.50 psnr_u:39.65 psnr_v:35.24 
n:5 mse_avg:188.55 mse_y:275.96 mse_u:7.24 mse_v:20.24 psnr_avg:25.38 psnr_y:23.72 psnr_u:39.53 psnr_v:35.07 
n:6 mse_avg:37.77 mse_y:53.07 mse_u:5.80 mse_v:8.58 psnr_avg:32.36 psnr_y:30.88 psnr_u:40.50 psnr_v:38.80 
n:7 mse_avg:169.60 mse_y:248.10 mse_u:7.00 mse_v:18.22 psnr_avg:25.84 psnr_y:24.18 psnr_u:39.68 psnr_v:35.53 
n:8 mse_avg:54.18 mse_y:77.27 mse_u:6.24 mse_v:9.72 psnr_avg:30.79 psnr_y:29.25 psnr_u:40.18 psnr_v:38.25 
n:9 mse_avg:56.65 mse_y:80.87 mse_u:6.28 mse_v:10.11 psnr_avg:30.60 psnr_y:29.05 psnr_u:40.15 psnr_v:38.08 
n:10 mse_avg:145.46 mse_y:212.07 mse_u:7.34 mse_v:17.13 psnr_avg:26.50 psnr_y:24.87 psnr_u:39.48 psnr_v:35.79 
n:11 mse_avg:72.30 mse_y:103.89 mse_u:6.93 mse_v:11.31 psnr_avg:29.54 psnr_y:27.97 psnr_u:39.72 psnr_v:37.60 
n:12 mse_avg:135.38 mse_y:196.95 mse_u:7.86 mse_v:16.63 psnr_avg:26.82 psnr_y:25.19 psnr_u:39.18 psnr_v:35.92 
n:13 mse_avg:104.71 mse_y:151.25 mse_u:8.01 mse_v:15.27 psnr_avg:27.93 psnr_y:26.33 psnr_u:39.09 psnr_v:36.29 
n:14 mse_avg:93.66 mse_y:135.03 mse_u:8.19 mse_v:13.66 psnr_avg:28.42 psnr_y:26.83 psnr_u:39.00 psnr_v:36.78 
n:15 mse_avg:119.88 mse_y:173.24 mse_u:8.94 mse_v:17.42 psnr_avg:27.34 psnr_y:25.74 psnr_u:38.62 psnr_v:35.72 
n:16 mse_avg:106.15 mse_y:152.96 mse_u:9.24 mse_v:15.84 psnr_avg:27.87 psnr_y:26.29 psnr_u:38.47 psnr_v:36.13 
n:17 mse_avg:135.79 mse_y:196.35 mse_u:10.33 mse_v:19.02 psnr_avg:26.80 psnr_y:25.20 psnr_u:37.99 psnr_v:35.34 
n:18 mse_avg:137.04 mse_y:198.13 mse_u:10.10 mse_v:19.65 psnr_avg:26.76 psnr_y:25.16 psnr_u:38.09 psnr_v:35.20 
n:19 mse_avg:134.41 mse_y:194.77 mse_u:10.26 mse_v:17.16 psnr_avg:26.85 psnr_y:25.24 psnr_u:38.02 psnr_v:35.79 
n:20 mse_avg:134.32 mse_y:194.25 mse_u:10.75 mse_v:18.19 psnr_avg:26.85 psnr_y:25.25 psnr_u:37.82 psnr_v:35.53 
n:21 mse_avg:160.75 mse_y:232.96 mse_u:11.09 mse_v:21.56 psnr_avg:26.07 psnr_y:24.46 psnr_u:37.68 psnr_v:34.80 
n:22 mse_avg:151.43 mse_y:218.95 mse_u:11.85 mse_v:20.95 psnr_avg:26.33 psnr_y:24.73 psnr_u:37.39 psnr_v:34.92 
n:23 mse_avg:154.96 mse_y:223.88 mse_u:11.68 mse_v:22.56 psnr_avg:26.23 psnr_y:24.63 psnr_u:37.46 psnr_v:34.60 
n:24 mse_avg:177.14 mse_y:255.89 mse_u:12.69 mse_v:26.55 psnr_avg:25.65 psnr_y:24.05 psnr_u:37.10 psnr_v:33.89 
n:25 mse_avg:171.06 mse_y:246.96 mse_u:13.40 mse_v:25.10 psnr_avg:25.80 psnr_y:24.20 psnr_u:36.86 psnr_v:34.13 
n:26 mse_avg:169.05 mse_y:243.74 mse_u:13.42 mse_v:25.91 psnr_avg:25.85 psnr_y:24.26 psnr_u:36.85 psnr_v:34.00 
n:27 mse_avg:184.92 mse_y:266.77 mse_u:14.45 mse_v:28.00 psnr_avg:25.46 psnr_y:23.87 psnr_u:36.53 psnr_v:33.66 
n:28 mse_avg:186.73 mse_y:268.94 mse_u:14.82 mse_v:29.78 psnr_avg:25.42 psnr_y:23.83 psnr_u:36.42 psnr_v:33.39 
n:29 mse_avg:228.43 mse_y:329.64 mse_u:15.24 mse_v:36.78 psnr_avg:24.54 psnr_y:22.95 psnr_u:36.30 psnr_v:32.47 
n:30 mse_avg:200.91 mse_y:289.40 mse_u:15.88 mse_v:31.97 psnr_avg:25.10 psnr_y:23.52 psnr_u:36.12 psnr_v:33.08 
n:31 mse_avg:198.39 mse_y:285.16 mse_u:16.62 mse_v:33.08 psnr_avg:25.16 psnr_y:23.58 psnr_u:35.93 psnr_v:32.94 
n:32 mse_avg:196.02 mse_y:280.77 mse_u:16.90 mse_v:36.14 psnr_avg:25.21 psnr_y:23.65 psnr_u:35.85 psnr_v:32.55 
n:33 mse_avg:200.43 mse_y:287.17 mse_u:17.60 mse_v:36.32 psnr_avg:25.11 psnr_y:23.55 psnr_u:35.68 psnr_v:32.53 
n:34 mse_avg:192.84 mse_y:275.66 mse_u:17.40 mse_v:37.01 psnr_avg:25.28 psnr_y:23.73 psnr_u:35.72 psnr_v:32.45 
n:35 mse_avg:200.92 mse_y:287.28 mse_u:17.62 mse_v:38.80 psnr_avg:25.10 psnr_y:23.55 psnr_u:35.67 psnr_v:32.24 
n:36 mse_avg:227.75 mse_y:326.73 mse_u:18.56 mse_v:41.03 psnr_avg:24.56 psnr_y:22.99 psnr_u:35.44 psnr_v:32.00 
n:37 mse_avg:209.73 mse_y:300.09 mse_u:18.37 mse_v:39.67 psnr_avg:24.91 psnr_y:23.36 psnr_u:35.49 psnr_v:32.15 
n:38 mse_avg:215.64 mse_y:308.81 mse_u:18.89 mse_v:39.72 psnr_avg:24.79 psnr_y:23.23 psnr_u:35.37 psnr_v:32.14 
n:39 mse_avg:221.88 mse_y:317.43 mse_u:19.82 mse_v:41.73 psnr_avg:24.67 psnr_y:23.11 psnr_u:35.16 psnr_v:31.93 
n:40 mse_avg:248.20 mse_y:355.63 mse_u:20.34 mse_v:46.38 psnr_avg:24.18 psnr_y:22.62 psnr_u:35.05 psnr_v:31.47 
n:41 mse_avg:233.11 mse_y:333.36 mse_u:20.68 mse_v:44.53 psnr_avg:24.46 psnr_y:22.90 psnr_u:34.98 psnr_v:31.64 
n:42 mse_avg:223.27 mse_y:318.90 mse_u:20.22 mse_v:43.83 psnr_avg:24.64 psnr_y:23.09 psnr_u:35.07 psnr_v:31.71 
n:43 mse_avg:224.70 mse_y:320.95 mse_u:20.14 mse_v:44.25 psnr_avg:24.61 psnr_y:23.07 psnr_u:35.09 psnr_v:31.67 
n:44 mse_avg:254.30 mse_y:364.05 mse_u:21.39 mse_v:48.20 psnr_avg:24.08 psnr_y:22.52 psnr_u:34.83 psnr_v:31.30 
n:45 mse_avg:242.18 mse_y:346.60 mse_u:21.01 mse_v:45.64 psnr_avg:24.29 psnr_y:22.73 psnr_u:34.91 psnr_v:31.54 
n:46 mse_avg:262.95 mse_y:377.46 mse_u:21.51 mse_v:46.34 psnr_avg:23.93 psnr_y:22.36 psnr_u:34.80 psnr_v:31.47 
n:47 mse_avg:288.82 mse_y:415.50 mse_u:22.32 mse_v:48.60 psnr_avg:23.52 psnr_y:21.95 psnr_u:34.64 psnr_v:31.26 
n:48 mse_avg:253.24 mse_y:362.59 mse_u:22.21 mse_v:46.85 psnr_avg:24.10 psnr_y:22.54 psnr_u:34.67 psnr_v:31.42 
n:49 mse_avg:254.43 mse_y:364.90 mse_u:21.50 mse_v:45.46 psnr_avg:24.08 psnr_y:22.51 psnr_u:34.81 psnr_v:31.55 
n:50 mse_avg:263.55 mse_y:377.73 mse_u:22.67 mse_v:47.72 psnr_avg:23.92 psnr_y:22.36 psnr_u:34.58 psnr_v:31.34 
n:51 mse_avg:325.05 mse_y:467.32 mse_u:24.65 mse_v:56.37 psnr_avg:23.01 psnr_y:21.43 psnr_u:34.21 psnr_v:30.62 
n:52 mse_avg:274.93 mse_y:393.51 mse_u:24.49 mse_v:51.06 psnr_avg:23.74 psnr_y:22.18 psnr_u:34.24 psnr_v:31.05 
n:53 mse_avg:316.54 mse_y:454.01 mse_u:25.29 mse_v:57.91 psnr_avg:23.13 psnr_y:21.56 psnr_u:34.10 psnr_v:30.50 
n:54 mse_avg:326.33 mse_y:468.61 mse_u:25.31 mse_v:58.27 psnr_avg:22.99 psnr_y:21.42 psnr_u:34.10 psnr_v:30.48 
n:55 mse_avg:259.50 mse_y:371.15 mse_u:23.92 mse_v:48.45 psnr_avg:23.99 psnr_y:22.44 psnr_u:34.34 psnr_v:31.28 
n:56 mse_avg:299.39 mse_y:429.73 mse_u:25.28 mse_v:52.11 psnr_avg:23.37 psnr_y:21.80 psnr_u:34.10 psnr_v:30.96 
n:57 mse_avg:286.24 mse_y:410.10 mse_u:25.16 mse_v:51.89 psnr_avg:23.56 psnr_y:22.00 psnr_u:34.12 psnr_v:30.98 
n:58 mse_avg:265.76 mse_y:380.07 mse_u:24.75 mse_v:49.53 psnr_avg:23.89 psnr_y:22.33 psnr_u:34.19 psnr_v:31.18 
n:59 mse_avg:310.67 mse_y:446.33 mse_u:25.88 mse_v:52.79 psnr_avg:23.21 psnr_y:21.63 psnr_u:34.00 psnr_v:30.90 
n:60 mse_avg:264.48 mse_y:377.46 mse_u:25.53 mse_v:51.50 psnr_avg:23.91 psnr_y:22.36 psnr_u:34.06 psnr_v:31.01 
n:61 mse_avg:258.26 mse_y:368.67 mse_u:25.49 mse_v:49.38 psnr_avg:24.01 psnr_y:22.46 psnr_u:34.07 psnr_v:31.20 
