n:1 mse_avg:44.89 mse_y:63.95 mse_u:9.18 mse_v:4.35 psnr_avg:31.61 psnr_y:30.07 psnr_u:38.50 psnr_v:41.75 
n:2 mse_avg:48.69 mse_y:69.73 mse_u:8.83 mse_v:4.37 psnr_avg:31.26 psnr_y:29.70 psnr_u:38.67 psnr_v:41.72 
n:3 mse_avg:52.99 mse_y:76.13 mse_u:9.02 mse_v:4.41 psnr_avg:30.89 psnr_y:29.32 psnr_u:38.58 psnr_v:41.68 
n:4 mse_avg:53.88 mse_y:77.55 mse_u:8.66 mse_v:4.41 psnr_avg:30.82 psnr_y:29.23 psnr_u:38.76 psnr_v:41.69 
n:5 mse_avg:56.11 mse_y:80.85 mse_u:8.86 mse_v:4.44 psnr_avg:30.64 psnr_y:29.05 psnr_u:38.66 psnr_v:41.66 
n:6 mse_avg:56.89 mse_y:82.09 mse_u:8.56 mse_v:4.43 psnr_avg:30.58 psnr_y:28.99 psnr_u:38.81 psnr_v:41.67 
n:7 mse_avg:59.10 mse_y:85.35 mse_u:8.82 mse_v:4.37 psnr_avg:30.42 psnr_y:28.82 psnr_u:38.68 psnr_v:41.73 
n:8 mse_avg:55.72 mse_y:80.32 mse_u:8.70 mse_v:4.36 psnr_avg:30.67 psnr_y:29.08 psnr_u:38.74 psnr_v:41.74 
n:9 mse_avg:56.95 mse_y:82.07 mse_u:9.08 mse_v:4.36 psnr_avg:30.58 psnr_y:28.99 psnr_u:38.55 psnr_v:41.73 
n:10 mse_avg:51.97 mse_y:74.62 mse_u:8.90 mse_v:4.44 psnr_avg:30.97 psnr_y:29.40 psnr_u:38.64 psnr_v:41.66 
n:11 mse_avg:47.39 mse_y:67.67 mse_u:9.06 mse_v:4.57 psnr_avg:31.37 psnr_y:29.83 psnr_u:38.56 psnr_v:41.53 
n:12 mse_avg:51.83 mse_y:74.32 mse_u:9.11 mse_v:4.62 psnr_avg:30.98 psnr_y:29.42 psnr_u:38.54 psnr_v:41.49 
n:13 mse_avg:55.58 mse_y:79.86 mse_u:9.34 mse_v:4.74 psnr_avg:30.68 psnr_y:29.11 psnr_u:38.43 psnr_v:41.37 
n:14 mse_avg:57.84 mse_y:83.26 mse_u:9.30 mse_v:4.69 psnr_avg:30.51 psnr_y:28.93 psnr_u:38.45 psnr_v:41.42 
n:15 mse_avg:61.47 mse_y:88.59 mse_u:9.64 mse_v:4.82 psnr_avg:30.24 psnr_y:28.66 psnr_u:38.29 psnr_v:41.30 
n:16 mse_avg:61.72 mse_y:88.98 mse_u:9.60 mse_v:4.83 psnr_avg:30.23 psnr_y:28.64 psnr_u:38.31 psnr_v:41.29 
n:17 mse_avg:61.58 mse_y:88.79 mse_u:9.62 mse_v:4.68 psnr_avg:30.24 psnr_y:28.65 psnr_u:38.30 psnr_v:41.43 
n:18 mse_avg:61.43 mse_y:88.56 mse_u:9.64 mse_v:4.68 psnr_avg:30.25 psnr_y:28.66 psnr_u:38.29 psnr_v:41.43 
n:19 mse_avg:59.21 mse_y:85.23 mse_u:9.63 mse_v:4.70 psnr_avg:30.41 psnr_y:28.82 psnr_u:38.30 psnr_v:41.41 
n:20 mse_avg:55.42 mse_y:79.55 mse_u:9.60 mse_v:4.70 psnr_avg:30.69 psnr_y:29.12 psnr_u:38.31 psnr_v:41.41 
n:21 mse_avg:52.47 mse_y:75.04 mse_u:9.88 mse_v:4.82 psnr_avg:30.93 psnr_y:29.38 psnr_u:38.19 psnr_v:41.30 
n:22 mse_avg:58.07 mse_y:83.33 mse_u:10.19 mse_v:4.91 psnr_avg:30.49 psnr_y:28.92 psnr_u:38.05 psnr_v:41.22 
n:23 mse_avg:61.11 mse_y:87.85 mse_u:10.32 mse_v:4.94 psnr_avg:30.27 psnr_y:28.69 psnr_u:37.99 psnr_v:41.19 
n:24 mse_avg:64.49 mse_y:92.92 mse_u:10.41 mse_v:4.86 psnr_avg:30.04 psnr_y:28.45 psnr_u:37.96 psnr_v:41.27 
n:25 mse_avg:65.54 mse_y:94.42 mse_u:10.60 mse_v:4.96 psnr_avg:29.97 psnr_y:28.38 psnr_u:37.88 psnr_v:41.17 
