n:1 mse_avg:16.60 mse_y:22.96 mse_u:5.40 mse_v:2.37 psnr_avg:35.93 psnr_y:34.52 psnr_u:40.81 psnr_v:44.38 
n:2 mse_avg:32.30 mse_y:46.62 mse_u:5.00 mse_v:2.33 psnr_avg:33.04 psnr_y:31.44 psnr_u:41.14 psnr_v:44.46 
n:3 mse_avg:40.42 mse_y:58.69 mse_u:5.36 mse_v:2.38 psnr_avg:32.07 psnr_y:30.45 psnr_u:40.84 psnr_v:44.36 
n:4 mse_avg:51.96 mse_y:76.08 mse_u:5.06 mse_v:2.34 psnr_avg:30.97 psnr_y:29.32 psnr_u:41.09 psnr_v:44.43 
n:5 mse_avg:59.27 mse_y:86.95 mse_u:5.38 mse_v:2.43 psnr_avg:30.40 psnr_y:28.74 psnr_u:40.82 psnr_v:44.28 
n:6 mse_avg:63.99 mse_y:94.07 mse_u:5.24 mse_v:2.44 psnr_avg:30.07 psnr_y:28.40 psnr_u:40.94 psnr_v:44.27 
n:7 mse_avg:72.50 mse_y:106.62 mse_u:5.96 mse_v:2.59 psnr_avg:29.53 psnr_y:27.85 psnr_u:40.38 psnr_v:43.99 
n:8 mse_avg:71.81 mse_y:105.63 mse_u:5.73 mse_v:2.61 psnr_avg:29.57 psnr_y:27.89 psnr_u:40.55 psnr_v:43.96 
n:9 mse_avg:90.72 mse_y:133.79 mse_u:6.39 mse_v:2.77 psnr_avg:28.55 psnr_y:26.87 psnr_u:40.07 psnr_v:43.71 
n:10 mse_avg:92.24 mse_y:136.09 mse_u:6.30 mse_v:2.79 psnr_avg:28.48 psnr_y:26.79 psnr_u:40.14 psnr_v:43.68 
n:11 mse_avg:113.54 mse_y:167.76 mse_u:7.16 mse_v:2.99 psnr_avg:27.58 psnr_y:25.88 psnr_u:39.58 psnr_v:43.37 
n:12 mse_avg:116.91 mse_y:172.65 mse_u:7.80 mse_v:3.05 psnr_avg:27.45 psnr_y:25.76 psnr_u:39.21 psnr_v:43.29 
n:13 mse_avg:143.97 mse_y:212.86 mse_u:9.12 mse_v:3.26 psnr_avg:26.55 psnr_y:24.85 psnr_u:38.53 psnr_v:43.00 
n:14 mse_avg:133.29 mse_y:196.86 mse_u:9.04 mse_v:3.26 psnr_avg:26.88 psnr_y:25.19 psnr_u:38.57 psnr_v:43.00 
n:15 mse_avg:160.90 mse_y:237.89 mse_u:10.38 mse_v:3.45 psnr_avg:26.07 psnr_y:24.37 psnr_u:37.97 psnr_v:42.75 
n:16 mse_avg:144.83 mse_y:213.87 mse_u:10.00 mse_v:3.48 psnr_avg:26.52 psnr_y:24.83 psnr_u:38.13 psnr_v:42.71 
n:17 mse_avg:152.93 mse_y:225.89 mse_u:10.38 mse_v:3.68 psnr_avg:26.29 psnr_y:24.59 psnr_u:37.97 psnr_v:42.48 
n:18 mse_avg:152.12 mse_y:224.57 mse_u:10.63 mse_v:3.81 psnr_avg:26.31 psnr_y:24.62 psnr_u:37.87 psnr_v:42.33 
n:19 mse_avg:191.14 mse_y:282.49 mse_u:12.75 mse_v:4.18 psnr_avg:25.32 psnr_y:23.62 psnr_u:37.08 psnr_v:41.92 
n:20 mse_avg:169.32 mse_y:249.90 mse_u:12.18 mse_v:4.17 psnr_avg:25.84 psnr_y:24.15 psnr_u:37.27 psnr_v:41.92 
n:21 mse_avg:193.84 mse_y:286.30 mse_u:13.44 mse_v:4.41 psnr_avg:25.26 psnr_y:23.56 psnr_u:36.85 psnr_v:41.68 
n:22 mse_avg:182.46 mse_y:269.20 mse_u:13.43 mse_v:4.52 psnr_avg:25.52 psnr_y:23.83 psnr_u:36.85 psnr_v:41.58 
n:23 mse_avg:185.48 mse_y:273.65 mse_u:13.61 mse_v:4.65 psnr_avg:25.45 psnr_y:23.76 psnr_u:36.79 psnr_v:41.46 
n:24 mse_avg:184.16 mse_y:271.64 mse_u:13.61 mse_v:4.78 psnr_avg:25.48 psnr_y:23.79 psnr_u:36.79 psnr_v:41.34 
n:25 mse_avg:219.14 mse_y:323.64 mse_u:15.12 mse_v:5.16 psnr_avg:24.72 psnr_y:23.03 psnr_u:36.34 psnr_v:41.01 
n:26 mse_avg:198.54 mse_y:292.96 mse_u:14.26 mse_v:5.17 psnr_avg:25.15 psnr_y:23.46 psnr_u:36.59 psnr_v:40.99 
n:27 mse_avg:193.47 mse_y:285.33 mse_u:14.20 mse_v:5.29 psnr_avg:25.26 psnr_y:23.58 psnr_u:36.61 psnr_v:40.89 
n:28 mse_avg:197.70 mse_y:291.61 mse_u:14.38 mse_v:5.39 psnr_avg:25.17 psnr_y:23.48 psnr_u:36.55 psnr_v:40.82 
n:29 mse_avg:226.63 mse_y:334.57 mse_u:15.81 mse_v:5.67 psnr_avg:24.58 psnr_y:22.89 psnr_u:36.14 psnr_v:40.60 
n:30 mse_avg:200.26 mse_y:295.18 mse_u:15.07 mse_v:5.75 psnr_avg:25.11 psnr_y:23.43 psnr_u:36.35 psnr_v:40.53 
n:31 mse_avg:218.54 mse_y:322.28 mse_u:16.13 mse_v:6.01 psnr_avg:24.74 psnr_y:23.05 psnr_u:36.05 psnr_v:40.35 
n:32 mse_avg:201.78 mse_y:297.21 mse_u:15.73 mse_v:6.08 psnr_avg:25.08 psnr_y:23.40 psnr_u:36.16 psnr_v:40.29 
n:33 mse_avg:217.05 mse_y:319.80 mse_u:16.73 mse_v:6.39 psnr_avg:24.77 psnr_y:23.08 psnr_u:35.90 psnr_v:40.07 
n:34 mse_avg:206.23 mse_y:303.57 mse_u:16.69 mse_v:6.45 psnr_avg:24.99 psnr_y:23.31 psnr_u:35.91 psnr_v:40.04 
n:35 mse_avg:222.16 mse_y:327.20 mse_u:17.52 mse_v:6.65 psnr_avg:24.66 psnr_y:22.98 psnr_u:35.70 psnr_v:39.90 
n:36 mse_avg:209.98 mse_y:308.99 mse_u:17.27 mse_v:6.66 psnr_avg:24.91 psnr_y:23.23 psnr_u:35.76 psnr_v:39.90 
n:37 mse_avg:231.35 mse_y:340.66 mse_u:18.52 mse_v:6.94 psnr_avg:24.49 psnr_y:22.81 psnr_u:35.45 psnr_v:39.72 
n:38 mse_avg:215.75 mse_y:317.17 mse_u:18.79 mse_v:7.04 psnr_avg:24.79 psnr_y:23.12 psnr_u:35.39 psnr_v:39.66 
n:39 mse_avg:240.60 mse_y:353.99 mse_u:20.31 mse_v:7.34 psnr_avg:24.32 psnr_y:22.64 psnr_u:35.05 psnr_v:39.47 
n:40 mse_avg:226.06 mse_y:332.42 mse_u:19.35 mse_v:7.33 psnr_avg:24.59 psnr_y:22.91 psnr_u:35.26 psnr_v:39.48 
n:41 mse_avg:220.37 mse_y:323.87 mse_u:19.25 mse_v:7.45 psnr_avg:24.70 psnr_y:23.03 psnr_u:35.29 psnr_v:39.41 
n:42 mse_avg:209.15 mse_y:307.10 mse_u:18.99 mse_v:7.52 psnr_avg:24.93 psnr_y:23.26 psnr_u:35.35 psnr_v:39.37 
